csv_name,canonical_name,building_id
131 Perry Street,131 Perry Street,3
68 Perry Street,68 Perry Street,6
135–139 West 17th,135-139 West 17th Street,7
135-139 West 17th,135-139 West 17th Street,7
117 West 17th Street,117 West 17th Street,9
136 West 17th,136 West 17th Street,11
138 West 17th Street,138 West 17th Street,12
12 West 18th Street,12 West 18th Street,1
112 West 18th Street,112 West 18th Street,14
104 Franklin,104 Franklin Street,4
41 Elizabeth Street,41 Elizabeth Street,8
133 East 15th Street,133 East 15th Street,15
Rubin Museum (142–148 W 17th),Rubin Museum,13
Stuyvesant Cove Park,Stuyvesant Cove Park,16
FrancoSphere HQ,12 West 18th Street,1
29–31 East 20th,29-31 East 20th Street,2
123 1st Ave,123 1st Avenue,3
178 Spring,178 Spring Street,5
36 Walker,36 Walker Street,17
115 7th Ave,115 7th Avenue,18
